variable,missing_count,missing_pct
title,989,98.9
share_games_vs_higher_rated_12m,657,65.7
avg_event_rc_12m,657,65.7
fide_id,371,37.1
total_k_chg_12m,371,37.1
avg_opponent_rating_12m,371,37.1
max_opponent_rating_12m,371,37.1
min_opponent_rating_12m,371,37.1
avg_score_per_game_12m,371,37.1
total_score_12m,371,37.1
avg_game_chg_12m,371,37.1
score_percentage_12m,371,37.1
calc_games_12m,0,0.0
games_vs_2000plus_12m,0,0.0
games_vs_2200plus_12m,0,0.0
distinct_event_locations_12m,0,0.0
distinct_tournament_countries_12m,0,0.0
calc_tournaments_12m,0,0.0
ID Number,0,0.0
player_name,0,0.0
rating_band,0,0.0
age_approx_2026,0,0.0
rating_gain_12m,0,0.0
inactive_months_12m,0,0.0
active_months_12m,0,0.0
max_monthly_games,0,0.0
avg_monthly_games,0,0.0
total_games_12m,0,0.0
months_available,0,0.0
rating_end,0,0.0
rating_start,0,0.0
Birth_Year,0,0.0
sex,0,0.0
Fed,0,0.0
has_calculation_data,0,0.0
